직종,성명,선정년도,대표사업장명,지역,주소,대표품목,위도,경도,네이버플레이스
요리,천덕상,2022,촌장골 안산점,경기,경기도 안산시 상록구 성포동 593-26,"양념갈비, 함흥냉면",37.3262418,126.846689,https://map.naver.com/p/entry/place/18061207
요리,천덕상,2022,훈장골안산성포점,경기,경기도 안산시 상록구 예술광장1로 116,"양념갈비, 함흥냉면",37.3263186,126.8451793,https://map.naver.com/p/entry/place/38758346
제과·제빵,안창현,2009,안스베이커리 스타필드 안성점,경기,경기도 안성시 공도읍 서동대로 3930-39 스타필드 안성점 1층,베이커리,36.9943752,127.1475367,https://map.naver.com/p/entry/place/1199339026
자동차정비,강금원,2012,만안현대서비스㈜,경기,경기도 안양시 박달로 473 만안현대서비스,자동차 정비,37.4025445,126.9053138,https://map.naver.com/p/entry/place/386376765
제과·제빵,홍종흔,2012,골드헤겔-홍종흔베이커리,경기,경기도 오산시 외삼미로 162-32,베이커리,37.1984409,127.063433,https://map.naver.com/p/entry/place/1935884717
제과·제빵,안창현,2009,안스베이커리 롯데프리미엄아울렛 기흥점,경기,경기도 용인시 기흥구 신고매로 124 몰 B1F,베이커리,37.2249984,127.119637,https://map.naver.com/p/entry/place/1734272020
요리,천덕상,2022,갈비도락 용인상현점,경기,경기도 용인시 수지구 수지로 62 1층,"양념갈비, 함흥냉면",37.3083411,127.0761656,https://map.naver.com/p/entry/place/2087155896
제과·제빵,홍종흔,2012,홍종흔베이커리 신봉외식타운점,경기,"경기도 용인시 수지구 신봉1로 344번길8,1동",베이커리,37.3338637,127.0522064,https://map.naver.com/p/entry/place/1148178110
요리,천덕상,2022,훈장골 수지점,경기,경기도 용인시 수지구 용구대로2771번길 89,"양념갈비, 함흥냉면",37.338375,127.1043481,https://map.naver.com/p/entry/place/1691947490
요리,천덕상,2022,훈장골 파주점,경기,경기도 파주시 동서대로 646,"양념갈비, 함흥냉면",37.7065418,126.7493971,https://map.naver.com/p/entry/place/21587826
요리,천덕상,2022,갈비도락 파주점,경기,경기도 파주시 동패동 2111,"양념갈비, 함흥냉면",37.7096625,126.7123594,https://map.naver.com/p/entry/place/2011363751
제과·제빵,인재홍,2017,빵과당신,경기,경기도 평택시 만세로1720-4,베이커리,37.0137857,127.1116659,https://map.naver.com/p/entry/place/1137171523
요리,천덕상,2022,훈장골 평택점,경기,경기도 평택시 비전3로 157 2층,"양념갈비, 함흥냉면",37.00774,127.1171596,https://map.naver.com/p/entry/place/1389483009
제과·제빵,인재홍,2017,빵과당신 송탄점,경기,경기도 평택시 추담로39,베이커리,37.0561457,127.0729141,https://map.naver.com/p/entry/place/1564719964
요리,천덕상,2022,갈비도락 미사점,경기,경기도 하남시 미사대로 584,"양념갈비, 함흥냉면",37.55484,127.20898,https://map.naver.com/p/entry/place/36932172
제과·제빵,안창현,2009,안스베이커리 스타필드 하남점,경기,경기도 하남시 미사대로 750 L1층,베이커리,37.5447517,127.2240806,https://map.naver.com/p/entry/place/1111199693
